[2024-04-19 12:44:59] [FINE   ] START EXECUTION
 
[2024-04-19 12:45:00] [FINE   ] START SCENARIO EXECUTION: Done unlocked 
[2024-04-19 12:45:16] [FINE   ] Device: Google sdk_gphone64_x86_64 
[2024-04-19 12:45:16] [FINE   ] Platform: ANDROID 12 
[2024-04-19 12:45:16] [FINE   ] API Level: 31
 
[2024-04-19 12:45:18] [FINE   ] ----STEP----: I_OPEN_THE_APP 
[2024-04-19 12:45:18] [FINE   ] ----STEP----: I_CLICK_ON 
[2024-04-19 12:45:18] [FINE   ] Start: Click on section: Headlines 
[2024-04-19 12:45:19] [FINE   ] ----STEP----: DONE_UNLOCKED 
[2024-04-19 12:45:21] [FINE   ] END SCENARIO EXECUTION: Done unlocked

 
[2024-04-19 12:45:21] [FINE   ] START SCENARIO EXECUTION: Done unlocked 
[2024-04-19 12:45:22] [FINE   ] ----STEP----: I_OPEN_THE_APP 
[2024-04-19 12:45:22] [FINE   ] ----STEP----: I_CLICK_ON 
[2024-04-19 12:45:22] [FINE   ] Start: Click on section: UI 
[2024-04-19 12:45:24] [FINE   ] ----STEP----: DONE_UNLOCKED 
[2024-04-19 12:45:26] [FINE   ] END SCENARIO EXECUTION: Done unlocked

 
[2024-04-19 12:45:26] [FINE   ] START SCENARIO EXECUTION: Done unlocked 
[2024-04-19 12:45:26] [FINE   ] ----STEP----: I_OPEN_THE_APP 
[2024-04-19 12:45:26] [FINE   ] ----STEP----: I_CLICK_ON 
[2024-04-19 12:45:26] [FINE   ] Start: Click on section: Compose 
[2024-04-19 12:45:29] [FINE   ] ----STEP----: DONE_UNLOCKED 
[2024-04-19 12:45:30] [FINE   ] END SCENARIO EXECUTION: Done unlocked

 
[2024-04-19 12:45:30] [FINE   ] START SCENARIO EXECUTION: Settings displayed 
[2024-04-19 12:45:30] [FINE   ] ----STEP----: I_OPEN_THE_APP 
[2024-04-19 12:45:30] [FINE   ] ----STEP----: I_CLICK_ON_SETTINGS 
[2024-04-19 12:45:30] [FINE   ] Start: Click on Settings 
[2024-04-19 12:45:33] [FINE   ] ----STEP----: SECTIONS_IN_SETTINGS 
[2024-04-19 12:45:35] [FINE   ] END SCENARIO EXECUTION: Settings displayed

 
[2024-04-19 12:45:37] [FINE   ] END EXECUTION
 
