[2024-02-02 13:41:11] [FINE   ] START EXECUTION
 
[2024-02-02 13:41:12] [FINE   ] START SCENARIO EXECUTION: Done unlocked 
[2024-02-02 13:41:29] [FINE   ] Device: Google sdk_gphone64_x86_64 
[2024-02-02 13:41:29] [FINE   ] Platform: ANDROID 12 
[2024-02-02 13:41:29] [FINE   ] API Level: 31
 
[2024-02-02 13:41:30] [FINE   ] END SCENARIO EXECUTION: Done unlocked

 
[2024-02-02 13:41:30] [FINE   ] START SCENARIO EXECUTION: Done unlocked 
[2024-02-02 13:41:31] [FINE   ] END SCENARIO EXECUTION: Done unlocked

 
[2024-02-02 13:41:31] [FINE   ] START SCENARIO EXECUTION: Done unlocked 
[2024-02-02 13:41:31] [FINE   ] END SCENARIO EXECUTION: Done unlocked

 
[2024-02-02 13:41:31] [FINE   ] START SCENARIO EXECUTION: Settings displayed 
[2024-02-02 13:41:32] [FINE   ] END SCENARIO EXECUTION: Settings displayed

 
[2024-02-02 13:41:34] [FINE   ] END EXECUTION
 
