[2024-04-30 14:45:23] [FINE   ] START EXECUTION
 
[2024-04-30 14:45:24] [FINE   ] START SCENARIO EXECUTION: Done unlocked 
[2024-04-30 14:45:38] [FINE   ] Device: Google sdk_gphone64_x86_64 
[2024-04-30 14:45:38] [FINE   ] Platform: ANDROID 12 
[2024-04-30 14:45:38] [FINE   ] API Level: 31
 
[2024-04-30 14:45:41] [FINE   ] ----STEP----: I_OPEN_THE_APP 
[2024-04-30 14:45:41] [FINE   ] ----STEP----: I_CLICK_ON 
[2024-04-30 14:45:41] [FINE   ] Start: Click on section: Headlines 
[2024-04-30 14:45:42] [FINE   ] ----STEP----: DONE_UNLOCKED 
[2024-04-30 14:45:46] [FINE   ] END SCENARIO EXECUTION: Done unlocked

 
[2024-04-30 14:45:46] [FINE   ] START SCENARIO EXECUTION: Settings displayed 
[2024-04-30 14:45:47] [FINE   ] ----STEP----: I_OPEN_THE_APP 
[2024-04-30 14:45:47] [FINE   ] ----STEP----: I_CLICK_ON_SETTINGS 
[2024-04-30 14:45:47] [FINE   ] Start: Click on Settings 
[2024-04-30 14:45:49] [FINE   ] ----STEP----: SECTIONS_IN_SETTINGS 
[2024-04-30 14:45:52] [FINE   ] END SCENARIO EXECUTION: Settings displayed

 
[2024-04-30 14:45:55] [FINE   ] END EXECUTION
 
