[2024-04-30 14:50:14] [FINE   ] START EXECUTION
 
[2024-04-30 14:50:15] [FINE   ] START SCENARIO EXECUTION: Done unlocked 
[2024-04-30 14:50:32] [FINE   ] Device: Google sdk_gphone64_x86_64 
[2024-04-30 14:50:32] [FINE   ] Platform: ANDROID 12 
[2024-04-30 14:50:32] [FINE   ] API Level: 31
 
[2024-04-30 14:50:33] [FINE   ] ----STEP----: I_OPEN_THE_APP 
[2024-04-30 14:50:33] [FINE   ] ----STEP----: I_CLICK_ON 
[2024-04-30 14:50:33] [FINE   ] Start: Click on section: Headlines 
[2024-04-30 14:50:35] [FINE   ] ----STEP----: DONE_UNLOCKED 
[2024-04-30 14:50:37] [FINE   ] END SCENARIO EXECUTION: Done unlocked

 
[2024-04-30 14:50:37] [FINE   ] START SCENARIO EXECUTION: Settings displayed 
[2024-04-30 14:50:38] [FINE   ] ----STEP----: I_OPEN_THE_APP 
[2024-04-30 14:50:38] [FINE   ] ----STEP----: I_CLICK_ON_SETTINGS 
[2024-04-30 14:50:38] [FINE   ] Start: Click on Settings 
[2024-04-30 14:50:42] [FINE   ] ----STEP----: SECTIONS_IN_SETTINGS 
[2024-04-30 14:50:45] [FINE   ] END SCENARIO EXECUTION: Settings displayed

 
[2024-04-30 14:50:48] [FINE   ] END EXECUTION
 
