[2025-02-13 14:14:31] [FINE   ] START EXECUTION
 
[2025-02-13 14:14:33] [FINE   ] START SCENARIO EXECUTION: Done unlocked 
[2025-02-13 14:14:51] [FINE   ] Device: Google sdk_gphone64_x86_64 
[2025-02-13 14:14:51] [FINE   ] Platform: ANDROID 12 
[2025-02-13 14:14:51] [FINE   ] API Level: 31
 
[2025-02-13 14:14:52] [FINE   ] ----STEP----: I_OPEN_THE_APP 
[2025-02-13 14:14:52] [FINE   ] ----STEP----: I_CLICK_ON 
[2025-02-13 14:14:52] [FINE   ] Start: Click on section: Headlines 
[2025-02-13 14:14:53] [FINE   ] ----STEP----: DONE_UNLOCKED 
[2025-02-13 14:14:58] [FINE   ] END SCENARIO EXECUTION: Done unlocked

 
[2025-02-13 14:14:58] [FINE   ] START SCENARIO EXECUTION: Settings displayed 
[2025-02-13 14:14:59] [FINE   ] ----STEP----: I_OPEN_THE_APP 
[2025-02-13 14:14:59] [FINE   ] ----STEP----: I_CLICK_ON_SETTINGS 
[2025-02-13 14:14:59] [FINE   ] Start: Click on Settings 
[2025-02-13 14:15:04] [FINE   ] ----STEP----: SECTIONS_IN_SETTINGS 
[2025-02-13 14:15:05] [FINE   ] END SCENARIO EXECUTION: Settings displayed

 
[2025-02-13 14:15:07] [FINE   ] END EXECUTION
 
