[2024-04-18 14:44:20] [FINE   ] START EXECUTION
 
[2024-04-18 14:44:21] [FINE   ] START SCENARIO EXECUTION: Done unlocked 
[2024-04-18 14:44:46] [FINE   ] Device: Google sdk_gphone64_x86_64 
[2024-04-18 14:44:46] [FINE   ] Platform: ANDROID 12 
[2024-04-18 14:44:46] [FINE   ] API Level: 31
 
[2024-04-18 14:44:47] [FINE   ] ----STEP----: I_OPEN_THE_APP 
[2024-04-18 14:44:47] [FINE   ] ----STEP----: I_CLICK_ON 
[2024-04-18 14:44:47] [FINE   ] Start: Click on section: Headlines 
[2024-04-18 14:44:48] [FINE   ] ----STEP----: DONE_UNLOCKED 
[2024-04-18 14:44:52] [FINE   ] END SCENARIO EXECUTION: Done unlocked

 
[2024-04-18 14:44:52] [FINE   ] START SCENARIO EXECUTION: Done unlocked 
[2024-04-18 14:44:53] [FINE   ] ----STEP----: I_OPEN_THE_APP 
[2024-04-18 14:44:53] [FINE   ] ----STEP----: I_CLICK_ON 
[2024-04-18 14:44:53] [FINE   ] Start: Click on section: UI 
[2024-04-18 14:45:01] [FINE   ] ----STEP----: DONE_UNLOCKED 
[2024-04-18 14:45:03] [FINE   ] END SCENARIO EXECUTION: Done unlocked

 
[2024-04-18 14:45:03] [FINE   ] START SCENARIO EXECUTION: Done unlocked 
[2024-04-18 14:45:04] [FINE   ] ----STEP----: I_OPEN_THE_APP 
[2024-04-18 14:45:04] [FINE   ] ----STEP----: I_CLICK_ON 
[2024-04-18 14:45:04] [FINE   ] Start: Click on section: Compose 
[2024-04-18 14:45:13] [FINE   ] ----STEP----: DONE_UNLOCKED 
[2024-04-18 14:45:15] [FINE   ] END SCENARIO EXECUTION: Done unlocked

 
[2024-04-18 14:45:15] [FINE   ] START SCENARIO EXECUTION: Settings displayed 
[2024-04-18 14:45:15] [FINE   ] ----STEP----: I_OPEN_THE_APP 
[2024-04-18 14:45:15] [FINE   ] ----STEP----: I_CLICK_ON_SETTINGS 
[2024-04-18 14:45:15] [FINE   ] Start: Click on Settings 
[2024-04-18 14:45:23] [FINE   ] ----STEP----: SECTIONS_IN_SETTINGS 
[2024-04-18 14:45:26] [FINE   ] END SCENARIO EXECUTION: Settings displayed

 
[2024-04-18 14:45:28] [FINE   ] END EXECUTION
 
