[2024-02-02 14:21:27] [FINE   ] START EXECUTION
 
[2024-02-02 14:21:28] [FINE   ] START SCENARIO EXECUTION: Done unlocked 
[2024-02-02 14:21:50] [FINE   ] Device: Google sdk_gphone64_x86_64 
[2024-02-02 14:21:50] [FINE   ] Platform: ANDROID 12 
[2024-02-02 14:21:50] [FINE   ] API Level: 31
 
[2024-02-02 14:21:50] [FINE   ] END SCENARIO EXECUTION: Done unlocked

 
[2024-02-02 14:21:50] [FINE   ] START SCENARIO EXECUTION: Done unlocked 
[2024-02-02 14:21:51] [FINE   ] END SCENARIO EXECUTION: Done unlocked

 
[2024-02-02 14:21:51] [FINE   ] START SCENARIO EXECUTION: Done unlocked 
[2024-02-02 14:21:51] [FINE   ] END SCENARIO EXECUTION: Done unlocked

 
[2024-02-02 14:21:51] [FINE   ] START SCENARIO EXECUTION: Settings displayed 
[2024-02-02 14:21:52] [FINE   ] END SCENARIO EXECUTION: Settings displayed

 
[2024-02-02 14:21:54] [FINE   ] END EXECUTION
 
