[2025-02-13 14:13:50] [FINE   ] START EXECUTION
 
[2025-02-13 14:13:51] [FINE   ] START SCENARIO EXECUTION: Done unlocked 
[2025-02-13 14:14:09] [FINE   ] Device: Google sdk_gphone64_x86_64 
[2025-02-13 14:14:09] [FINE   ] Platform: ANDROID 12 
[2025-02-13 14:14:09] [FINE   ] API Level: 31
 
[2025-02-13 14:14:10] [FINE   ] ----STEP----: I_OPEN_THE_APP 
[2025-02-13 14:14:10] [FINE   ] ----STEP----: I_CLICK_ON 
[2025-02-13 14:14:10] [FINE   ] Start: Click on section: Headlines 
[2025-02-13 14:14:12] [FINE   ] ----STEP----: DONE_UNLOCKED 
[2025-02-13 14:14:13] [FINE   ] END SCENARIO EXECUTION: Done unlocked

 
[2025-02-13 14:14:14] [FINE   ] START SCENARIO EXECUTION: Settings displayed 
[2025-02-13 14:14:14] [FINE   ] ----STEP----: I_OPEN_THE_APP 
[2025-02-13 14:14:14] [FINE   ] ----STEP----: I_CLICK_ON_SETTINGS 
[2025-02-13 14:14:14] [FINE   ] Start: Click on Settings 
[2025-02-13 14:14:17] [FINE   ] ----STEP----: SECTIONS_IN_SETTINGS 
[2025-02-13 14:14:18] [FINE   ] END SCENARIO EXECUTION: Settings displayed

 
[2025-02-13 14:14:20] [FINE   ] END EXECUTION
 
