[2024-04-19 12:25:16] [FINE   ] START EXECUTION
 
[2024-04-19 12:25:17] [FINE   ] START SCENARIO EXECUTION: Done unlocked 
[2024-04-19 12:25:30] [FINE   ] Device: Google sdk_gphone64_x86_64 
[2024-04-19 12:25:30] [FINE   ] Platform: ANDROID 12 
[2024-04-19 12:25:30] [FINE   ] API Level: 31
 
[2024-04-19 12:25:31] [FINE   ] ----STEP----: I_OPEN_THE_APP 
[2024-04-19 12:25:31] [FINE   ] ----STEP----: I_CLICK_ON 
[2024-04-19 12:25:31] [FINE   ] Start: Click on section: Headlines 
[2024-04-19 12:25:32] [FINE   ] ----STEP----: DONE_UNLOCKED 
[2024-04-19 12:25:35] [FINE   ] END SCENARIO EXECUTION: Done unlocked

 
[2024-04-19 12:25:35] [FINE   ] START SCENARIO EXECUTION: Done unlocked 
[2024-04-19 12:25:35] [FINE   ] ----STEP----: I_OPEN_THE_APP 
[2024-04-19 12:25:35] [FINE   ] ----STEP----: I_CLICK_ON 
[2024-04-19 12:25:35] [FINE   ] Start: Click on section: UI 
[2024-04-19 12:25:37] [FINE   ] ----STEP----: DONE_UNLOCKED 
[2024-04-19 12:25:39] [FINE   ] END SCENARIO EXECUTION: Done unlocked

 
[2024-04-19 12:25:39] [FINE   ] START SCENARIO EXECUTION: Done unlocked 
[2024-04-19 12:25:40] [FINE   ] ----STEP----: I_OPEN_THE_APP 
[2024-04-19 12:25:40] [FINE   ] ----STEP----: I_CLICK_ON 
[2024-04-19 12:25:40] [FINE   ] Start: Click on section: Compose 
[2024-04-19 12:25:42] [FINE   ] ----STEP----: DONE_UNLOCKED 
[2024-04-19 12:25:44] [FINE   ] END SCENARIO EXECUTION: Done unlocked

 
[2024-04-19 12:25:44] [FINE   ] START SCENARIO EXECUTION: Settings displayed 
[2024-04-19 12:25:44] [FINE   ] ----STEP----: I_OPEN_THE_APP 
[2024-04-19 12:25:44] [FINE   ] ----STEP----: I_CLICK_ON_SETTINGS 
[2024-04-19 12:25:44] [FINE   ] Start: Click on Settings 
[2024-04-19 12:25:48] [FINE   ] ----STEP----: SECTIONS_IN_SETTINGS 
[2024-04-19 12:25:50] [FINE   ] END SCENARIO EXECUTION: Settings displayed

 
[2024-04-19 12:25:52] [FINE   ] END EXECUTION
 
