[2023-03-10 10:39:40] [FINE   ] START EXECUTION
 
[2023-03-10 10:39:41] [FINE   ] Appium driver located in: http://127.0.0.1:4723/wd/hub 
[2023-03-10 10:39:48] [FINE   ] Device: Google Android SDK built for x86 
[2023-03-10 10:39:48] [FINE   ] Platform: Android 10 
[2023-03-10 10:39:48] [FINE   ] API Level: 29
 
[2023-03-10 10:39:48] [FINE   ] Device UDID: null 
[2023-03-10 10:39:48] [FINE   ] START SCENARIO EXECUTION: Done unlocked 
[2023-03-10 10:39:49] [FINE   ] ----STEP----: I_OPEN_THE_APP 
[2023-03-10 10:39:49] [FINE   ] ----STEP----: I_CLICK_ON 
[2023-03-10 10:39:49] [FINE   ] Start: Click on section: Headlines 
[2023-03-10 10:39:51] [FINE   ] ----STEP----: DONE_UNLOCKED 
[2023-03-10 10:39:52] [FINE   ] END SCENARIO EXECUTION: Done unlocked

 
[2023-03-10 10:39:52] [FINE   ] START SCENARIO EXECUTION: Done unlocked 
[2023-03-10 10:39:54] [FINE   ] ----STEP----: I_OPEN_THE_APP 
[2023-03-10 10:39:54] [FINE   ] ----STEP----: I_CLICK_ON 
[2023-03-10 10:39:54] [FINE   ] Start: Click on section: UI 
[2023-03-10 10:39:56] [FINE   ] ----STEP----: DONE_UNLOCKED 
[2023-03-10 10:39:56] [FINE   ] END SCENARIO EXECUTION: Done unlocked

 
[2023-03-10 10:39:56] [FINE   ] START SCENARIO EXECUTION: Done unlocked 
[2023-03-10 10:39:57] [FINE   ] ----STEP----: I_OPEN_THE_APP 
[2023-03-10 10:39:57] [FINE   ] ----STEP----: I_CLICK_ON 
[2023-03-10 10:39:57] [FINE   ] Start: Click on section: Compose 
[2023-03-10 10:40:00] [FINE   ] ----STEP----: DONE_UNLOCKED 
[2023-03-10 10:40:00] [FINE   ] END SCENARIO EXECUTION: Done unlocked

 
[2023-03-10 10:40:00] [FINE   ] START SCENARIO EXECUTION: Settings displayed 
[2023-03-10 10:40:03] [FINE   ] ----STEP----: I_OPEN_THE_APP 
[2023-03-10 10:40:03] [FINE   ] ----STEP----: I_CLICK_ON_SETTINGS 
[2023-03-10 10:40:03] [FINE   ] Start: Click on Settings 
[2023-03-10 10:40:06] [FINE   ] ----STEP----: SECTIONS_IN_SETTINGS 
[2023-03-10 10:40:06] [FINE   ] END SCENARIO EXECUTION: Settings displayed

 
[2023-03-10 10:40:07] [FINE   ] END EXECUTION
 
