[2023-03-10 11:02:07] [FINE   ] START EXECUTION
 
[2023-03-10 11:02:08] [FINE   ] START SCENARIO EXECUTION: Done unlocked 
[2023-03-10 11:02:15] [FINE   ] Device: Google Android SDK built for x86 
[2023-03-10 11:02:15] [FINE   ] Platform: Android 10 
[2023-03-10 11:02:15] [FINE   ] API Level: 29
 
[2023-03-10 11:02:16] [FINE   ] ----STEP----: I_OPEN_THE_APP 
[2023-03-10 11:02:16] [FINE   ] ----STEP----: I_CLICK_ON 
[2023-03-10 11:02:16] [FINE   ] Start: Click on section: Headlines 
[2023-03-10 11:02:18] [FINE   ] ----STEP----: DONE_UNLOCKED 
[2023-03-10 11:02:18] [FINE   ] END SCENARIO EXECUTION: Done unlocked

 
[2023-03-10 11:02:18] [FINE   ] START SCENARIO EXECUTION: Done unlocked 
[2023-03-10 11:02:19] [FINE   ] ----STEP----: I_OPEN_THE_APP 
[2023-03-10 11:02:19] [FINE   ] ----STEP----: I_CLICK_ON 
[2023-03-10 11:02:19] [FINE   ] Start: Click on section: UI 
[2023-03-10 11:02:21] [FINE   ] ----STEP----: DONE_UNLOCKED 
[2023-03-10 11:02:21] [FINE   ] END SCENARIO EXECUTION: Done unlocked

 
[2023-03-10 11:02:21] [FINE   ] START SCENARIO EXECUTION: Done unlocked 
[2023-03-10 11:02:22] [FINE   ] ----STEP----: I_OPEN_THE_APP 
[2023-03-10 11:02:22] [FINE   ] ----STEP----: I_CLICK_ON 
[2023-03-10 11:02:22] [FINE   ] Start: Click on section: Compose 
[2023-03-10 11:02:24] [FINE   ] ----STEP----: DONE_UNLOCKED 
[2023-03-10 11:02:24] [FINE   ] END SCENARIO EXECUTION: Done unlocked

 
[2023-03-10 11:02:24] [FINE   ] START SCENARIO EXECUTION: Settings displayed 
[2023-03-10 11:02:26] [FINE   ] ----STEP----: I_OPEN_THE_APP 
[2023-03-10 11:02:26] [FINE   ] ----STEP----: I_CLICK_ON_SETTINGS 
[2023-03-10 11:02:26] [FINE   ] Start: Click on Settings 
[2023-03-10 11:02:27] [FINE   ] ----STEP----: SECTIONS_IN_SETTINGS 
[2023-03-10 11:02:28] [FINE   ] END SCENARIO EXECUTION: Settings displayed

 
[2023-03-10 11:02:29] [FINE   ] END EXECUTION
 
