[2024-02-02 14:22:50] [FINE   ] START EXECUTION
 
[2024-02-02 14:22:51] [FINE   ] START SCENARIO EXECUTION: Done unlocked 
[2024-02-02 14:23:12] [FINE   ] Device: Google sdk_gphone64_x86_64 
[2024-02-02 14:23:12] [FINE   ] Platform: ANDROID 12 
[2024-02-02 14:23:12] [FINE   ] API Level: 31
 
[2024-02-02 14:23:13] [FINE   ] END SCENARIO EXECUTION: Done unlocked

 
[2024-02-02 14:23:13] [FINE   ] START SCENARIO EXECUTION: Done unlocked 
[2024-02-02 14:23:14] [FINE   ] END SCENARIO EXECUTION: Done unlocked

 
[2024-02-02 14:23:14] [FINE   ] START SCENARIO EXECUTION: Done unlocked 
[2024-02-02 14:23:15] [FINE   ] END SCENARIO EXECUTION: Done unlocked

 
[2024-02-02 14:23:15] [FINE   ] START SCENARIO EXECUTION: Settings displayed 
[2024-02-02 14:23:15] [FINE   ] END SCENARIO EXECUTION: Settings displayed

 
[2024-02-02 14:23:17] [FINE   ] END EXECUTION
 
