[2024-02-02 13:11:17] [FINE   ] START EXECUTION
 
[2024-02-02 13:11:19] [FINE   ] START SCENARIO EXECUTION: Done unlocked 
[2024-02-02 13:11:39] [FINE   ] Device: Google sdk_gphone64_x86_64 
[2024-02-02 13:11:39] [FINE   ] Platform: ANDROID 12 
[2024-02-02 13:11:39] [FINE   ] API Level: 31
 
[2024-02-02 13:11:40] [FINE   ] END SCENARIO EXECUTION: Done unlocked

 
[2024-02-02 13:11:40] [FINE   ] START SCENARIO EXECUTION: Done unlocked 
[2024-02-02 13:11:41] [FINE   ] END SCENARIO EXECUTION: Done unlocked

 
[2024-02-02 13:11:41] [FINE   ] START SCENARIO EXECUTION: Done unlocked 
[2024-02-02 13:11:41] [FINE   ] END SCENARIO EXECUTION: Done unlocked

 
[2024-02-02 13:11:41] [FINE   ] START SCENARIO EXECUTION: Settings displayed 
[2024-02-02 13:11:42] [FINE   ] END SCENARIO EXECUTION: Settings displayed

 
[2024-02-02 13:11:43] [FINE   ] END EXECUTION
 
