[2023-08-01 18:17:09] [FINE   ] START EXECUTION
 
[2023-08-01 18:17:10] [FINE   ] START SCENARIO EXECUTION: Done unlocked 
[2023-08-01 18:17:28] [FINE   ] Device: unknown Android SDK built for x86 
[2023-08-01 18:17:28] [FINE   ] Platform: Android 11 
[2023-08-01 18:17:28] [FINE   ] API Level: 30
 
[2023-08-01 18:17:31] [FINE   ] ----STEP----: I_OPEN_THE_APP 
[2023-08-01 18:17:31] [FINE   ] ----STEP----: I_CLICK_ON 
[2023-08-01 18:17:31] [FINE   ] Start: Click on section: Headlines 
[2023-08-01 18:17:33] [FINE   ] ----STEP----: DONE_UNLOCKED 
[2023-08-01 18:17:36] [FINE   ] END SCENARIO EXECUTION: Done unlocked

 
[2023-08-01 18:17:36] [FINE   ] START SCENARIO EXECUTION: Done unlocked 
[2023-08-01 18:17:38] [FINE   ] ----STEP----: I_OPEN_THE_APP 
[2023-08-01 18:17:38] [FINE   ] ----STEP----: I_CLICK_ON 
[2023-08-01 18:17:38] [FINE   ] Start: Click on section: UI 
[2023-08-01 18:17:41] [FINE   ] ----STEP----: DONE_UNLOCKED 
[2023-08-01 18:17:42] [FINE   ] END SCENARIO EXECUTION: Done unlocked

 
[2023-08-01 18:17:42] [FINE   ] START SCENARIO EXECUTION: Done unlocked 
[2023-08-01 18:17:46] [FINE   ] ----STEP----: I_OPEN_THE_APP 
[2023-08-01 18:17:46] [FINE   ] ----STEP----: I_CLICK_ON 
[2023-08-01 18:17:46] [FINE   ] Start: Click on section: Compose 
[2023-08-01 18:17:48] [FINE   ] ----STEP----: DONE_UNLOCKED 
[2023-08-01 18:17:48] [FINE   ] END SCENARIO EXECUTION: Done unlocked

 
[2023-08-01 18:17:48] [FINE   ] START SCENARIO EXECUTION: Settings displayed 
[2023-08-01 18:17:51] [FINE   ] ----STEP----: I_OPEN_THE_APP 
[2023-08-01 18:17:51] [FINE   ] ----STEP----: I_CLICK_ON_SETTINGS 
[2023-08-01 18:17:51] [FINE   ] Start: Click on Settings 
[2023-08-01 18:17:53] [FINE   ] ----STEP----: SECTIONS_IN_SETTINGS 
[2023-08-01 18:17:54] [FINE   ] END SCENARIO EXECUTION: Settings displayed

 
[2023-08-01 18:17:54] [FINE   ] END EXECUTION
 
