[2024-04-30 14:55:59] [FINE   ] START EXECUTION
 
[2024-04-30 14:56:01] [FINE   ] START SCENARIO EXECUTION: Done unlocked 
[2024-04-30 14:56:24] [FINE   ] Device: Google sdk_gphone64_x86_64 
[2024-04-30 14:56:24] [FINE   ] Platform: ANDROID 12 
[2024-04-30 14:56:24] [FINE   ] API Level: 31
 
[2024-04-30 14:56:27] [FINE   ] ----STEP----: I_OPEN_THE_APP 
[2024-04-30 14:56:27] [FINE   ] ----STEP----: I_CLICK_ON 
[2024-04-30 14:56:27] [FINE   ] Start: Click on section: Headlines 
[2024-04-30 14:56:28] [FINE   ] ----STEP----: DONE_UNLOCKED 
[2024-04-30 14:56:31] [FINE   ] END SCENARIO EXECUTION: Done unlocked

 
[2024-04-30 14:56:31] [FINE   ] START SCENARIO EXECUTION: Settings displayed 
[2024-04-30 14:56:31] [FINE   ] ----STEP----: I_OPEN_THE_APP 
[2024-04-30 14:56:31] [FINE   ] ----STEP----: I_CLICK_ON_SETTINGS 
[2024-04-30 14:56:31] [FINE   ] Start: Click on Settings 
[2024-04-30 14:56:35] [FINE   ] ----STEP----: SECTIONS_IN_SETTINGS 
[2024-04-30 14:56:37] [FINE   ] END SCENARIO EXECUTION: Settings displayed

 
[2024-04-30 14:56:42] [FINE   ] END EXECUTION
 
