[2024-02-02 14:25:56] [FINE   ] START EXECUTION
 
[2024-02-02 14:25:58] [FINE   ] START SCENARIO EXECUTION: Done unlocked 
[2024-02-02 14:26:24] [FINE   ] Device: Google Android SDK built for x86 
[2024-02-02 14:26:24] [FINE   ] Platform: ANDROID 10 
[2024-02-02 14:26:24] [FINE   ] API Level: 29
 
[2024-02-02 14:26:24] [FINE   ] END SCENARIO EXECUTION: Done unlocked

 
[2024-02-02 14:26:24] [FINE   ] START SCENARIO EXECUTION: Done unlocked 
[2024-02-02 14:26:25] [FINE   ] END SCENARIO EXECUTION: Done unlocked

 
[2024-02-02 14:26:25] [FINE   ] START SCENARIO EXECUTION: Done unlocked 
[2024-02-02 14:26:25] [FINE   ] END SCENARIO EXECUTION: Done unlocked

 
[2024-02-02 14:26:25] [FINE   ] START SCENARIO EXECUTION: Settings displayed 
[2024-02-02 14:26:26] [FINE   ] END SCENARIO EXECUTION: Settings displayed

 
[2024-02-02 14:26:29] [FINE   ] END EXECUTION
 
