[2024-02-02 13:20:15] [FINE   ] START EXECUTION
 
[2024-02-02 13:20:16] [FINE   ] START SCENARIO EXECUTION: Done unlocked 
[2024-02-02 13:20:34] [FINE   ] Device: Google sdk_gphone64_x86_64 
[2024-02-02 13:20:34] [FINE   ] Platform: ANDROID 12 
[2024-02-02 13:20:34] [FINE   ] API Level: 31
 
[2024-02-02 13:20:35] [FINE   ] END SCENARIO EXECUTION: Done unlocked

 
[2024-02-02 13:20:35] [FINE   ] START SCENARIO EXECUTION: Done unlocked 
[2024-02-02 13:20:36] [FINE   ] END SCENARIO EXECUTION: Done unlocked

 
[2024-02-02 13:20:36] [FINE   ] START SCENARIO EXECUTION: Done unlocked 
[2024-02-02 13:20:36] [FINE   ] END SCENARIO EXECUTION: Done unlocked

 
[2024-02-02 13:20:36] [FINE   ] START SCENARIO EXECUTION: Settings displayed 
[2024-02-02 13:20:37] [FINE   ] END SCENARIO EXECUTION: Settings displayed

 
[2024-02-02 13:20:38] [FINE   ] END EXECUTION
 
