[2024-02-01 14:16:51] [FINE   ] START EXECUTION
 
[2024-02-01 14:16:52] [FINE   ] START SCENARIO EXECUTION: Done unlocked 
[2024-02-01 14:17:07] [FINE   ] Device: Google sdk_gphone64_x86_64 
[2024-02-01 14:17:07] [FINE   ] Platform: ANDROID 12 
[2024-02-01 14:17:07] [FINE   ] API Level: 31
 
[2024-02-01 14:17:09] [FINE   ] END SCENARIO EXECUTION: Done unlocked

 
[2024-02-01 14:17:09] [FINE   ] START SCENARIO EXECUTION: Done unlocked 
[2024-02-01 14:17:10] [FINE   ] END SCENARIO EXECUTION: Done unlocked

 
[2024-02-01 14:17:10] [FINE   ] START SCENARIO EXECUTION: Done unlocked 
[2024-02-01 14:17:10] [FINE   ] END SCENARIO EXECUTION: Done unlocked

 
[2024-02-01 14:17:10] [FINE   ] START SCENARIO EXECUTION: Settings displayed 
[2024-02-01 14:17:11] [FINE   ] END SCENARIO EXECUTION: Settings displayed

 
[2024-02-01 14:17:14] [FINE   ] END EXECUTION
 
