[2023-03-10 11:01:21] [FINE   ] START EXECUTION
 
[2023-03-10 11:01:22] [FINE   ] START SCENARIO EXECUTION: Done unlocked 
[2023-03-10 11:01:29] [FINE   ] Device: Google Android SDK built for x86 
[2023-03-10 11:01:29] [FINE   ] Platform: Android 10 
[2023-03-10 11:01:29] [FINE   ] API Level: 29
 
[2023-03-10 11:01:30] [FINE   ] ----STEP----: I_OPEN_THE_APP 
[2023-03-10 11:01:30] [FINE   ] ----STEP----: I_CLICK_ON 
[2023-03-10 11:01:30] [FINE   ] Start: Click on section: Headlines 
[2023-03-10 11:01:33] [FINE   ] ----STEP----: DONE_UNLOCKED 
[2023-03-10 11:01:34] [FINE   ] END SCENARIO EXECUTION: Done unlocked

 
[2023-03-10 11:01:34] [FINE   ] START SCENARIO EXECUTION: Done unlocked 
[2023-03-10 11:01:35] [FINE   ] ----STEP----: I_OPEN_THE_APP 
[2023-03-10 11:01:35] [FINE   ] ----STEP----: I_CLICK_ON 
[2023-03-10 11:01:35] [FINE   ] Start: Click on section: UI 
[2023-03-10 11:01:37] [FINE   ] ----STEP----: DONE_UNLOCKED 
[2023-03-10 11:01:37] [FINE   ] END SCENARIO EXECUTION: Done unlocked

 
[2023-03-10 11:01:37] [FINE   ] START SCENARIO EXECUTION: Done unlocked 
[2023-03-10 11:01:38] [FINE   ] ----STEP----: I_OPEN_THE_APP 
[2023-03-10 11:01:38] [FINE   ] ----STEP----: I_CLICK_ON 
[2023-03-10 11:01:38] [FINE   ] Start: Click on section: Compose 
[2023-03-10 11:01:40] [FINE   ] ----STEP----: DONE_UNLOCKED 
[2023-03-10 11:01:40] [FINE   ] END SCENARIO EXECUTION: Done unlocked

 
[2023-03-10 11:01:40] [FINE   ] START SCENARIO EXECUTION: Settings displayed 
[2023-03-10 11:01:41] [FINE   ] ----STEP----: I_OPEN_THE_APP 
[2023-03-10 11:01:41] [FINE   ] ----STEP----: I_CLICK_ON_SETTINGS 
[2023-03-10 11:01:41] [FINE   ] Start: Click on Settings 
[2023-03-10 11:01:43] [FINE   ] ----STEP----: SECTIONS_IN_SETTINGS 
[2023-03-10 11:01:44] [FINE   ] END SCENARIO EXECUTION: Settings displayed

 
[2023-03-10 11:01:44] [FINE   ] END EXECUTION
 
