[2024-02-01 14:03:09] [FINE   ] START EXECUTION
 
[2024-02-01 14:03:10] [FINE   ] START SCENARIO EXECUTION: Done unlocked 
[2024-02-01 14:03:29] [FINE   ] Device: Google sdk_gphone64_x86_64 
[2024-02-01 14:03:29] [FINE   ] Platform: ANDROID 12 
[2024-02-01 14:03:29] [FINE   ] API Level: 31
 
[2024-02-01 14:03:30] [FINE   ] END SCENARIO EXECUTION: Done unlocked

 
[2024-02-01 14:03:30] [FINE   ] START SCENARIO EXECUTION: Done unlocked 
[2024-02-01 14:03:31] [FINE   ] END SCENARIO EXECUTION: Done unlocked

 
[2024-02-01 14:03:31] [FINE   ] START SCENARIO EXECUTION: Done unlocked 
[2024-02-01 14:03:31] [FINE   ] END SCENARIO EXECUTION: Done unlocked

 
[2024-02-01 14:03:31] [FINE   ] START SCENARIO EXECUTION: Settings displayed 
[2024-02-01 14:03:32] [FINE   ] END SCENARIO EXECUTION: Settings displayed

 
[2024-02-01 14:03:34] [FINE   ] END EXECUTION
 
