[2024-04-30 14:33:31] [FINE   ] START EXECUTION
 
[2024-04-30 14:33:32] [FINE   ] START SCENARIO EXECUTION: Done unlocked 
[2024-04-30 14:34:27] [FINE   ] Device: Google sdk_gphone64_x86_64 
[2024-04-30 14:34:27] [FINE   ] Platform: ANDROID 12 
[2024-04-30 14:34:27] [FINE   ] API Level: 31
 
[2024-04-30 14:34:29] [FINE   ] ----STEP----: I_OPEN_THE_APP 
[2024-04-30 14:34:29] [FINE   ] ----STEP----: I_CLICK_ON 
[2024-04-30 14:34:29] [FINE   ] Start: Click on section: Headlines 
[2024-04-30 14:34:30] [FINE   ] ----STEP----: DONE_UNLOCKED 
[2024-04-30 14:34:36] [FINE   ] END SCENARIO EXECUTION: Done unlocked

 
[2024-04-30 14:34:36] [FINE   ] START SCENARIO EXECUTION: Search feature works 
[2024-04-30 14:34:37] [FINE   ] ----STEP----: I_OPEN_THE_APP 
[2024-04-30 14:34:37] [FINE   ] ----STEP----: I_CLICK_ON 
[2024-04-30 14:34:37] [FINE   ] Start: Click on section: lens icon 
[2024-04-30 14:34:46] [FINE   ] ----STEP----: I_TYPE_SOMETHING 
[2024-04-30 14:34:46] [FINE   ] Start: Search: Testing 
[2024-04-30 14:34:55] [FINE   ] END SCENARIO EXECUTION: Search feature works

 
[2024-04-30 14:34:55] [FINE   ] START SCENARIO EXECUTION: Settings displayed 
[2024-04-30 14:34:57] [FINE   ] ----STEP----: I_OPEN_THE_APP 
[2024-04-30 14:34:57] [FINE   ] ----STEP----: I_CLICK_ON_SETTINGS 
[2024-04-30 14:34:57] [FINE   ] Start: Click on Settings 
[2024-04-30 14:35:04] [FINE   ] ----STEP----: SECTIONS_IN_SETTINGS 
[2024-04-30 14:35:07] [FINE   ] END SCENARIO EXECUTION: Settings displayed

 
[2024-04-30 14:35:19] [FINE   ] END EXECUTION
 
