[2023-08-01 18:26:33] [FINE   ] START EXECUTION
 
[2023-08-01 18:26:34] [FINE   ] START SCENARIO EXECUTION: Done unlocked 
[2023-08-01 18:26:44] [FINE   ] Device: unknown Android SDK built for x86 
[2023-08-01 18:26:44] [FINE   ] Platform: Android 11 
[2023-08-01 18:26:44] [FINE   ] API Level: 30
 
[2023-08-01 18:26:47] [FINE   ] ----STEP----: I_OPEN_THE_APP 
[2023-08-01 18:26:47] [FINE   ] ----STEP----: I_CLICK_ON 
[2023-08-01 18:26:47] [FINE   ] Start: Click on section: Headlines 
[2023-08-01 18:26:49] [FINE   ] ----STEP----: DONE_UNLOCKED 
[2023-08-01 18:26:51] [FINE   ] END SCENARIO EXECUTION: Done unlocked

 
[2023-08-01 18:26:51] [FINE   ] START SCENARIO EXECUTION: Done unlocked 
[2023-08-01 18:26:54] [FINE   ] ----STEP----: I_OPEN_THE_APP 
[2023-08-01 18:26:54] [FINE   ] ----STEP----: I_CLICK_ON 
[2023-08-01 18:26:54] [FINE   ] Start: Click on section: UI 
[2023-08-01 18:26:56] [FINE   ] ----STEP----: DONE_UNLOCKED 
[2023-08-01 18:26:56] [FINE   ] END SCENARIO EXECUTION: Done unlocked

 
[2023-08-01 18:26:56] [FINE   ] START SCENARIO EXECUTION: Done unlocked 
[2023-08-01 18:26:59] [FINE   ] ----STEP----: I_OPEN_THE_APP 
[2023-08-01 18:26:59] [FINE   ] ----STEP----: I_CLICK_ON 
[2023-08-01 18:26:59] [FINE   ] Start: Click on section: Compose 
[2023-08-01 18:27:01] [FINE   ] ----STEP----: DONE_UNLOCKED 
[2023-08-01 18:27:02] [FINE   ] END SCENARIO EXECUTION: Done unlocked

 
[2023-08-01 18:27:02] [FINE   ] START SCENARIO EXECUTION: Settings displayed 
[2023-08-01 18:27:04] [FINE   ] ----STEP----: I_OPEN_THE_APP 
[2023-08-01 18:27:04] [FINE   ] ----STEP----: I_CLICK_ON_SETTINGS 
[2023-08-01 18:27:04] [FINE   ] Start: Click on Settings 
[2023-08-01 18:27:06] [FINE   ] ----STEP----: SECTIONS_IN_SETTINGS 
[2023-08-01 18:27:07] [FINE   ] END SCENARIO EXECUTION: Settings displayed

 
[2023-08-01 18:27:07] [FINE   ] END EXECUTION
 
