[2024-02-02 13:28:26] [FINE   ] START EXECUTION
 
[2024-02-02 13:28:28] [FINE   ] START SCENARIO EXECUTION: Done unlocked 
[2024-02-02 13:28:44] [FINE   ] Device: Google sdk_gphone64_x86_64 
[2024-02-02 13:28:44] [FINE   ] Platform: ANDROID 12 
[2024-02-02 13:28:44] [FINE   ] API Level: 31
 
[2024-02-02 13:28:45] [FINE   ] END SCENARIO EXECUTION: Done unlocked

 
[2024-02-02 13:28:45] [FINE   ] START SCENARIO EXECUTION: Done unlocked 
[2024-02-02 13:28:45] [FINE   ] END SCENARIO EXECUTION: Done unlocked

 
[2024-02-02 13:28:45] [FINE   ] START SCENARIO EXECUTION: Done unlocked 
[2024-02-02 13:28:46] [FINE   ] END SCENARIO EXECUTION: Done unlocked

 
[2024-02-02 13:28:46] [FINE   ] START SCENARIO EXECUTION: Settings displayed 
[2024-02-02 13:28:46] [FINE   ] END SCENARIO EXECUTION: Settings displayed

 
[2024-02-02 13:28:47] [FINE   ] END EXECUTION
 
