[2024-02-02 13:21:51] [FINE   ] START EXECUTION
 
[2024-02-02 13:21:52] [FINE   ] START SCENARIO EXECUTION: Done unlocked 
[2024-02-02 13:22:14] [FINE   ] Device: Google sdk_gphone64_x86_64 
[2024-02-02 13:22:14] [FINE   ] Platform: ANDROID 12 
[2024-02-02 13:22:14] [FINE   ] API Level: 31
 
[2024-02-02 13:22:15] [FINE   ] END SCENARIO EXECUTION: Done unlocked

 
[2024-02-02 13:22:15] [FINE   ] START SCENARIO EXECUTION: Done unlocked 
[2024-02-02 13:22:16] [FINE   ] END SCENARIO EXECUTION: Done unlocked

 
[2024-02-02 13:22:16] [FINE   ] START SCENARIO EXECUTION: Done unlocked 
[2024-02-02 13:22:17] [FINE   ] END SCENARIO EXECUTION: Done unlocked

 
[2024-02-02 13:22:17] [FINE   ] START SCENARIO EXECUTION: Settings displayed 
[2024-02-02 13:22:18] [FINE   ] END SCENARIO EXECUTION: Settings displayed

 
[2024-02-02 13:22:20] [FINE   ] END EXECUTION
 
