[2024-04-19 13:20:55] [FINE   ] START EXECUTION
 
[2024-04-19 13:20:56] [FINE   ] START SCENARIO EXECUTION: Done unlocked 
[2024-04-19 13:21:16] [FINE   ] Device: Google sdk_gphone64_x86_64 
[2024-04-19 13:21:16] [FINE   ] Platform: ANDROID 12 
[2024-04-19 13:21:16] [FINE   ] API Level: 31
 
[2024-04-19 13:21:18] [FINE   ] ----STEP----: I_OPEN_THE_APP 
[2024-04-19 13:21:18] [FINE   ] ----STEP----: I_CLICK_ON 
[2024-04-19 13:21:18] [FINE   ] Start: Click on section: Headlines 
[2024-04-19 13:21:24] [FINE   ] END SCENARIO EXECUTION: Done unlocked

 
[2024-04-19 13:21:24] [FINE   ] START SCENARIO EXECUTION: Search feature works 
[2024-04-19 13:21:25] [FINE   ] ----STEP----: I_OPEN_THE_APP 
[2024-04-19 13:21:25] [FINE   ] ----STEP----: I_CLICK_ON 
[2024-04-19 13:21:25] [FINE   ] Start: Click on section: lens icon 
[2024-04-19 13:21:28] [FINE   ] ----STEP----: I_TYPE_SOMETHING 
[2024-04-19 13:21:28] [FINE   ] Start: Search: Testing 
[2024-04-19 13:21:34] [FINE   ] END SCENARIO EXECUTION: Search feature works

 
[2024-04-19 13:21:34] [FINE   ] START SCENARIO EXECUTION: Settings displayed 
[2024-04-19 13:21:36] [FINE   ] ----STEP----: I_OPEN_THE_APP 
[2024-04-19 13:21:36] [FINE   ] ----STEP----: I_CLICK_ON_SETTINGS 
[2024-04-19 13:21:36] [FINE   ] Start: Click on Settings 
[2024-04-19 13:21:46] [FINE   ] ----STEP----: SECTIONS_IN_SETTINGS 
[2024-04-19 13:21:50] [FINE   ] END SCENARIO EXECUTION: Settings displayed

 
[2024-04-19 13:21:53] [FINE   ] END EXECUTION
 
