[2023-03-10 11:20:30] [FINE   ] START EXECUTION
 
[2023-03-10 11:20:31] [FINE   ] START SCENARIO EXECUTION: Done unlocked 
[2023-03-10 11:20:38] [FINE   ] Device: Google Android SDK built for x86 
[2023-03-10 11:20:38] [FINE   ] Platform: Android 10 
[2023-03-10 11:20:38] [FINE   ] API Level: 29
 
[2023-03-10 11:20:40] [FINE   ] ----STEP----: I_OPEN_THE_APP 
[2023-03-10 11:20:40] [FINE   ] ----STEP----: I_CLICK_ON 
[2023-03-10 11:20:40] [FINE   ] Start: Click on section: Headlines 
[2023-03-10 11:20:41] [FINE   ] ----STEP----: DONE_UNLOCKED 
[2023-03-10 11:20:43] [FINE   ] END SCENARIO EXECUTION: Done unlocked

 
[2023-03-10 11:20:43] [FINE   ] START SCENARIO EXECUTION: Done unlocked 
[2023-03-10 11:20:44] [FINE   ] ----STEP----: I_OPEN_THE_APP 
[2023-03-10 11:20:44] [FINE   ] ----STEP----: I_CLICK_ON 
[2023-03-10 11:20:44] [FINE   ] Start: Click on section: UI 
[2023-03-10 11:20:45] [FINE   ] ----STEP----: DONE_UNLOCKED 
[2023-03-10 11:20:47] [FINE   ] END SCENARIO EXECUTION: Done unlocked

 
[2023-03-10 11:20:47] [FINE   ] START SCENARIO EXECUTION: Done unlocked 
[2023-03-10 11:20:48] [FINE   ] ----STEP----: I_OPEN_THE_APP 
[2023-03-10 11:20:48] [FINE   ] ----STEP----: I_CLICK_ON 
[2023-03-10 11:20:48] [FINE   ] Start: Click on section: Compose 
[2023-03-10 11:20:50] [FINE   ] ----STEP----: DONE_UNLOCKED 
[2023-03-10 11:20:50] [FINE   ] END SCENARIO EXECUTION: Done unlocked

 
[2023-03-10 11:20:50] [FINE   ] START SCENARIO EXECUTION: Settings displayed 
[2023-03-10 11:20:52] [FINE   ] ----STEP----: I_OPEN_THE_APP 
[2023-03-10 11:20:52] [FINE   ] ----STEP----: I_CLICK_ON_SETTINGS 
[2023-03-10 11:20:52] [FINE   ] Start: Click on Settings 
[2023-03-10 11:20:54] [FINE   ] ----STEP----: SECTIONS_IN_SETTINGS 
[2023-03-10 11:20:55] [FINE   ] END SCENARIO EXECUTION: Settings displayed

 
[2023-03-10 11:20:56] [FINE   ] END EXECUTION
 
