[2025-02-13 14:10:24] [FINE   ] START EXECUTION
 
[2025-02-13 14:10:25] [FINE   ] START SCENARIO EXECUTION: Done unlocked 
[2025-02-13 14:10:40] [FINE   ] Device: Google sdk_gphone64_x86_64 
[2025-02-13 14:10:40] [FINE   ] Platform: ANDROID 12 
[2025-02-13 14:10:40] [FINE   ] API Level: 31
 
[2025-02-13 14:10:41] [FINE   ] ----STEP----: I_OPEN_THE_APP 
[2025-02-13 14:10:41] [FINE   ] ----STEP----: I_CLICK_ON 
[2025-02-13 14:10:41] [FINE   ] Start: Click on section: Headlines 
[2025-02-13 14:10:42] [FINE   ] ----STEP----: DONE_UNLOCKED 
[2025-02-13 14:10:44] [FINE   ] END SCENARIO EXECUTION: Done unlocked

 
[2025-02-13 14:10:44] [FINE   ] START SCENARIO EXECUTION: Settings displayed 
[2025-02-13 14:10:45] [FINE   ] ----STEP----: I_OPEN_THE_APP 
[2025-02-13 14:10:45] [FINE   ] ----STEP----: I_CLICK_ON_SETTINGS 
[2025-02-13 14:10:45] [FINE   ] Start: Click on Settings 
[2025-02-13 14:10:47] [FINE   ] END SCENARIO EXECUTION: Settings displayed

 
[2025-02-13 14:10:49] [FINE   ] END EXECUTION
 
