[2024-04-19 12:10:46] [FINE   ] START EXECUTION
 
[2024-04-19 12:10:48] [FINE   ] START SCENARIO EXECUTION: Done unlocked 
[2024-04-19 12:11:10] [FINE   ] Device: Google sdk_gphone64_x86_64 
[2024-04-19 12:11:10] [FINE   ] Platform: ANDROID 12 
[2024-04-19 12:11:10] [FINE   ] API Level: 31
 
[2024-04-19 12:11:12] [FINE   ] ----STEP----: I_OPEN_THE_APP 
[2024-04-19 12:11:12] [FINE   ] ----STEP----: I_CLICK_ON 
[2024-04-19 12:11:12] [FINE   ] Start: Click on section: Headlines 
[2024-04-19 12:11:13] [FINE   ] ----STEP----: DONE_UNLOCKED 
[2024-04-19 12:11:24] [FINE   ] END SCENARIO EXECUTION: Done unlocked

 
[2024-04-19 12:11:24] [FINE   ] START SCENARIO EXECUTION: Done unlocked 
[2024-04-19 12:11:25] [FINE   ] ----STEP----: I_OPEN_THE_APP 
[2024-04-19 12:11:25] [FINE   ] ----STEP----: I_CLICK_ON 
[2024-04-19 12:11:25] [FINE   ] Start: Click on section: UI 
[2024-04-19 12:11:28] [FINE   ] ----STEP----: DONE_UNLOCKED 
[2024-04-19 12:11:39] [FINE   ] END SCENARIO EXECUTION: Done unlocked

 
[2024-04-19 12:11:39] [FINE   ] START SCENARIO EXECUTION: Done unlocked 
[2024-04-19 12:11:40] [FINE   ] ----STEP----: I_OPEN_THE_APP 
[2024-04-19 12:11:40] [FINE   ] ----STEP----: I_CLICK_ON 
[2024-04-19 12:11:40] [FINE   ] Start: Click on section: Compose 
[2024-04-19 12:11:43] [FINE   ] ----STEP----: DONE_UNLOCKED 
[2024-04-19 12:11:54] [FINE   ] END SCENARIO EXECUTION: Done unlocked

 
[2024-04-19 12:11:54] [FINE   ] START SCENARIO EXECUTION: Settings displayed 
[2024-04-19 12:11:55] [FINE   ] ----STEP----: I_OPEN_THE_APP 
[2024-04-19 12:11:55] [FINE   ] ----STEP----: I_CLICK_ON_SETTINGS 
[2024-04-19 12:11:55] [FINE   ] Start: Click on Settings 
[2024-04-19 12:12:06] [FINE   ] END SCENARIO EXECUTION: Settings displayed

 
[2024-04-19 12:12:08] [FINE   ] END EXECUTION
 
