[2024-04-30 14:57:58] [FINE   ] START EXECUTION
 
[2024-04-30 14:57:59] [FINE   ] START SCENARIO EXECUTION: Done unlocked 
[2024-04-30 14:58:15] [FINE   ] Device: Google sdk_gphone64_x86_64 
[2024-04-30 14:58:15] [FINE   ] Platform: ANDROID 12 
[2024-04-30 14:58:15] [FINE   ] API Level: 31
 
[2024-04-30 14:58:16] [FINE   ] ----STEP----: I_OPEN_THE_APP 
[2024-04-30 14:58:16] [FINE   ] ----STEP----: I_CLICK_ON 
[2024-04-30 14:58:16] [FINE   ] Start: Click on section: Headlines 
[2024-04-30 14:58:18] [FINE   ] ----STEP----: DONE_UNLOCKED 
[2024-04-30 14:58:20] [FINE   ] END SCENARIO EXECUTION: Done unlocked

 
[2024-04-30 14:58:20] [FINE   ] START SCENARIO EXECUTION: Settings displayed 
[2024-04-30 14:58:20] [FINE   ] ----STEP----: I_OPEN_THE_APP 
[2024-04-30 14:58:20] [FINE   ] ----STEP----: I_CLICK_ON_SETTINGS 
[2024-04-30 14:58:20] [FINE   ] Start: Click on Settings 
[2024-04-30 14:58:23] [FINE   ] ----STEP----: SECTIONS_IN_SETTINGS 
[2024-04-30 14:58:25] [FINE   ] END SCENARIO EXECUTION: Settings displayed

 
[2024-04-30 14:58:27] [FINE   ] END EXECUTION
 
