[2024-04-19 13:32:45] [FINE   ] START EXECUTION
 
[2024-04-19 13:32:47] [FINE   ] START SCENARIO EXECUTION: Done unlocked 
[2024-04-19 13:33:05] [FINE   ] Device: Google sdk_gphone64_x86_64 
[2024-04-19 13:33:05] [FINE   ] Platform: ANDROID 12 
[2024-04-19 13:33:05] [FINE   ] API Level: 31
 
[2024-04-19 13:33:07] [FINE   ] ----STEP----: I_OPEN_THE_APP 
[2024-04-19 13:33:07] [FINE   ] ----STEP----: I_CLICK_ON 
[2024-04-19 13:33:07] [FINE   ] Start: Click on section: Headlines 
[2024-04-19 13:33:08] [FINE   ] ----STEP----: DONE_UNLOCKED 
[2024-04-19 13:33:11] [FINE   ] END SCENARIO EXECUTION: Done unlocked

 
[2024-04-19 13:33:11] [FINE   ] START SCENARIO EXECUTION: Search feature works 
[2024-04-19 13:33:11] [FINE   ] ----STEP----: I_OPEN_THE_APP 
[2024-04-19 13:33:11] [FINE   ] ----STEP----: I_CLICK_ON 
[2024-04-19 13:33:11] [FINE   ] Start: Click on section: lens icon 
[2024-04-19 13:33:17] [FINE   ] ----STEP----: I_TYPE_SOMETHING 
[2024-04-19 13:33:17] [FINE   ] Start: Search: Testing 
[2024-04-19 13:33:25] [FINE   ] END SCENARIO EXECUTION: Search feature works

 
[2024-04-19 13:33:25] [FINE   ] START SCENARIO EXECUTION: Settings displayed 
[2024-04-19 13:33:26] [FINE   ] ----STEP----: I_OPEN_THE_APP 
[2024-04-19 13:33:26] [FINE   ] ----STEP----: I_CLICK_ON_SETTINGS 
[2024-04-19 13:33:26] [FINE   ] Start: Click on Settings 
[2024-04-19 13:33:30] [FINE   ] ----STEP----: SECTIONS_IN_SETTINGS 
[2024-04-19 13:33:32] [FINE   ] END SCENARIO EXECUTION: Settings displayed

 
[2024-04-19 13:33:35] [FINE   ] END EXECUTION
 
