[2024-02-01 12:55:19] [FINE   ] START EXECUTION
 
[2024-02-01 12:55:21] [FINE   ] START SCENARIO EXECUTION: Done unlocked 
[2024-02-01 12:55:36] [FINE   ] Device: Google sdk_gphone64_x86_64 
[2024-02-01 12:55:36] [FINE   ] Platform: ANDROID 12 
[2024-02-01 12:55:36] [FINE   ] API Level: 31
 
[2024-02-01 12:55:37] [FINE   ] END SCENARIO EXECUTION: Done unlocked

 
[2024-02-01 12:55:37] [FINE   ] START SCENARIO EXECUTION: Done unlocked 
[2024-02-01 12:55:37] [FINE   ] END SCENARIO EXECUTION: Done unlocked

 
[2024-02-01 12:55:37] [FINE   ] START SCENARIO EXECUTION: Done unlocked 
[2024-02-01 12:55:38] [FINE   ] END SCENARIO EXECUTION: Done unlocked

 
[2024-02-01 12:55:38] [FINE   ] START SCENARIO EXECUTION: Settings displayed 
[2024-02-01 12:55:39] [FINE   ] END SCENARIO EXECUTION: Settings displayed

 
[2024-02-01 12:55:41] [FINE   ] END EXECUTION
 
