[2024-02-01 14:13:29] [FINE   ] START EXECUTION
 
[2024-02-01 14:13:30] [FINE   ] START SCENARIO EXECUTION: Done unlocked 
[2024-02-01 14:13:47] [FINE   ] Device: Google sdk_gphone64_x86_64 
[2024-02-01 14:13:47] [FINE   ] Platform: ANDROID 12 
[2024-02-01 14:13:47] [FINE   ] API Level: 31
 
[2024-02-01 14:13:48] [FINE   ] END SCENARIO EXECUTION: Done unlocked

 
[2024-02-01 14:13:48] [FINE   ] START SCENARIO EXECUTION: Done unlocked 
[2024-02-01 14:13:49] [FINE   ] END SCENARIO EXECUTION: Done unlocked

 
[2024-02-01 14:13:49] [FINE   ] START SCENARIO EXECUTION: Done unlocked 
[2024-02-01 14:13:49] [FINE   ] END SCENARIO EXECUTION: Done unlocked

 
[2024-02-01 14:13:49] [FINE   ] START SCENARIO EXECUTION: Settings displayed 
[2024-02-01 14:13:50] [FINE   ] END SCENARIO EXECUTION: Settings displayed

 
[2024-02-01 14:13:52] [FINE   ] END EXECUTION
 
