[2024-04-19 12:19:50] [FINE   ] START EXECUTION
 
[2024-04-19 12:19:52] [FINE   ] START SCENARIO EXECUTION: Done unlocked 
[2024-04-19 12:20:07] [FINE   ] Device: Google sdk_gphone64_x86_64 
[2024-04-19 12:20:07] [FINE   ] Platform: ANDROID 12 
[2024-04-19 12:20:07] [FINE   ] API Level: 31
 
[2024-04-19 12:20:09] [FINE   ] ----STEP----: I_OPEN_THE_APP 
[2024-04-19 12:20:09] [FINE   ] ----STEP----: I_CLICK_ON 
[2024-04-19 12:20:09] [FINE   ] Start: Click on section: Headlines 
[2024-04-19 12:20:10] [FINE   ] ----STEP----: DONE_UNLOCKED 
[2024-04-19 12:20:12] [FINE   ] END SCENARIO EXECUTION: Done unlocked

 
[2024-04-19 12:20:12] [FINE   ] START SCENARIO EXECUTION: Done unlocked 
[2024-04-19 12:20:13] [FINE   ] ----STEP----: I_OPEN_THE_APP 
[2024-04-19 12:20:13] [FINE   ] ----STEP----: I_CLICK_ON 
[2024-04-19 12:20:13] [FINE   ] Start: Click on section: UI 
[2024-04-19 12:20:18] [FINE   ] END SCENARIO EXECUTION: Done unlocked

 
[2024-04-19 12:20:18] [FINE   ] START SCENARIO EXECUTION: Done unlocked 
[2024-04-19 12:20:19] [FINE   ] ----STEP----: I_OPEN_THE_APP 
[2024-04-19 12:20:19] [FINE   ] ----STEP----: I_CLICK_ON 
[2024-04-19 12:20:19] [FINE   ] Start: Click on section: Compose 
[2024-04-19 12:20:22] [FINE   ] ----STEP----: DONE_UNLOCKED 
[2024-04-19 12:20:23] [FINE   ] END SCENARIO EXECUTION: Done unlocked

 
[2024-04-19 12:20:24] [FINE   ] START SCENARIO EXECUTION: Settings displayed 
[2024-04-19 12:20:24] [FINE   ] ----STEP----: I_OPEN_THE_APP 
[2024-04-19 12:20:24] [FINE   ] ----STEP----: I_CLICK_ON_SETTINGS 
[2024-04-19 12:20:24] [FINE   ] Start: Click on Settings 
[2024-04-19 12:20:27] [FINE   ] ----STEP----: SECTIONS_IN_SETTINGS 
[2024-04-19 12:20:29] [FINE   ] END SCENARIO EXECUTION: Settings displayed

 
[2024-04-19 12:20:33] [FINE   ] END EXECUTION
 
