[2023-03-10 11:00:00] [FINE   ] START EXECUTION
 
[2023-03-10 11:00:02] [FINE   ] START SCENARIO EXECUTION: Done unlocked 
[2023-03-10 11:00:11] [FINE   ] Device: Google Android SDK built for x86 
[2023-03-10 11:00:11] [FINE   ] Platform: Android 10 
[2023-03-10 11:00:11] [FINE   ] API Level: 29
 
[2023-03-10 11:00:13] [FINE   ] ----STEP----: I_OPEN_THE_APP 
[2023-03-10 11:00:13] [FINE   ] ----STEP----: I_CLICK_ON 
[2023-03-10 11:00:13] [FINE   ] Start: Click on section: Headlines 
[2023-03-10 11:00:14] [FINE   ] ----STEP----: DONE_UNLOCKED 
[2023-03-10 11:00:15] [FINE   ] END SCENARIO EXECUTION: Done unlocked

 
[2023-03-10 11:00:15] [FINE   ] START SCENARIO EXECUTION: Done unlocked 
[2023-03-10 11:00:17] [FINE   ] ----STEP----: I_OPEN_THE_APP 
[2023-03-10 11:00:17] [FINE   ] ----STEP----: I_CLICK_ON 
[2023-03-10 11:00:17] [FINE   ] Start: Click on section: UI 
[2023-03-10 11:00:18] [FINE   ] ----STEP----: DONE_UNLOCKED 
[2023-03-10 11:00:18] [FINE   ] END SCENARIO EXECUTION: Done unlocked

 
[2023-03-10 11:00:18] [FINE   ] START SCENARIO EXECUTION: Done unlocked 
[2023-03-10 11:00:20] [FINE   ] ----STEP----: I_OPEN_THE_APP 
[2023-03-10 11:00:20] [FINE   ] ----STEP----: I_CLICK_ON 
[2023-03-10 11:00:20] [FINE   ] Start: Click on section: Compose 
[2023-03-10 11:00:21] [FINE   ] ----STEP----: DONE_UNLOCKED 
[2023-03-10 11:00:21] [FINE   ] END SCENARIO EXECUTION: Done unlocked

 
[2023-03-10 11:00:21] [FINE   ] START SCENARIO EXECUTION: Settings displayed 
[2023-03-10 11:00:23] [FINE   ] ----STEP----: I_OPEN_THE_APP 
[2023-03-10 11:00:23] [FINE   ] ----STEP----: I_CLICK_ON_SETTINGS 
[2023-03-10 11:00:23] [FINE   ] Start: Click on Settings 
[2023-03-10 11:00:24] [FINE   ] ----STEP----: SECTIONS_IN_SETTINGS 
[2023-03-10 11:00:25] [FINE   ] END SCENARIO EXECUTION: Settings displayed

 
[2023-03-10 11:00:25] [FINE   ] END EXECUTION
 
