[2024-02-01 12:53:48] [FINE   ] START EXECUTION
 
[2024-02-01 12:53:49] [FINE   ] START SCENARIO EXECUTION: Done unlocked 
[2024-02-01 12:53:58] [FINE   ] Device: Google Pixel 2 
[2024-02-01 12:53:58] [FINE   ] Platform: ANDROID 11 
[2024-02-01 12:53:58] [FINE   ] API Level: 30
 
[2024-02-01 12:53:58] [FINE   ] START SCENARIO EXECUTION: Done unlocked 
[2024-02-01 12:53:58] [FINE   ] START SCENARIO EXECUTION: Done unlocked 
[2024-02-01 12:53:58] [FINE   ] START SCENARIO EXECUTION: Settings displayed 
[2024-02-01 12:53:58] [FINE   ] END EXECUTION
 
