[2023-03-10 10:57:19] [FINE   ] START EXECUTION
 
[2023-03-10 10:57:27] [FINE   ] Device: Google Android SDK built for x86 
[2023-03-10 10:57:27] [FINE   ] Platform: Android 10 
[2023-03-10 10:57:27] [FINE   ] API Level: 29
 
[2023-03-10 10:57:28] [FINE   ] START SCENARIO EXECUTION: Done unlocked 
[2023-03-10 10:57:30] [FINE   ] ----STEP----: I_OPEN_THE_APP 
[2023-03-10 10:57:30] [FINE   ] ----STEP----: I_CLICK_ON 
[2023-03-10 10:57:30] [FINE   ] Start: Click on section: Headlines 
[2023-03-10 10:57:31] [FINE   ] ----STEP----: DONE_UNLOCKED 
[2023-03-10 10:57:33] [FINE   ] END SCENARIO EXECUTION: Done unlocked

 
[2023-03-10 10:57:33] [FINE   ] START SCENARIO EXECUTION: Done unlocked 
[2023-03-10 10:57:35] [FINE   ] ----STEP----: I_OPEN_THE_APP 
[2023-03-10 10:57:35] [FINE   ] ----STEP----: I_CLICK_ON 
[2023-03-10 10:57:35] [FINE   ] Start: Click on section: UI 
[2023-03-10 10:57:36] [FINE   ] ----STEP----: DONE_UNLOCKED 
[2023-03-10 10:57:36] [FINE   ] END SCENARIO EXECUTION: Done unlocked

 
[2023-03-10 10:57:36] [FINE   ] START SCENARIO EXECUTION: Done unlocked 
[2023-03-10 10:57:38] [FINE   ] ----STEP----: I_OPEN_THE_APP 
[2023-03-10 10:57:38] [FINE   ] ----STEP----: I_CLICK_ON 
[2023-03-10 10:57:38] [FINE   ] Start: Click on section: Compose 
[2023-03-10 10:57:39] [FINE   ] ----STEP----: DONE_UNLOCKED 
[2023-03-10 10:57:40] [FINE   ] END SCENARIO EXECUTION: Done unlocked

 
[2023-03-10 10:57:40] [FINE   ] START SCENARIO EXECUTION: Settings displayed 
[2023-03-10 10:57:41] [FINE   ] ----STEP----: I_OPEN_THE_APP 
[2023-03-10 10:57:41] [FINE   ] ----STEP----: I_CLICK_ON_SETTINGS 
[2023-03-10 10:57:41] [FINE   ] Start: Click on Settings 
[2023-03-10 10:57:43] [FINE   ] ----STEP----: SECTIONS_IN_SETTINGS 
[2023-03-10 10:57:43] [FINE   ] END SCENARIO EXECUTION: Settings displayed

 
[2023-03-10 10:57:44] [FINE   ] END EXECUTION
 
