[2024-04-18 12:35:37] [FINE   ] START EXECUTION
 
[2024-04-18 12:35:38] [FINE   ] START SCENARIO EXECUTION: Done unlocked 
[2024-04-18 12:35:50] [FINE   ] Device: Google sdk_gphone64_x86_64 
[2024-04-18 12:35:50] [FINE   ] Platform: Android 12 
[2024-04-18 12:35:50] [FINE   ] API Level: 31
 
[2024-04-18 12:35:51] [FINE   ] END SCENARIO EXECUTION: Done unlocked

 
[2024-04-18 12:35:51] [FINE   ] START SCENARIO EXECUTION: Done unlocked 
[2024-04-18 12:35:51] [FINE   ] END SCENARIO EXECUTION: Done unlocked

 
[2024-04-18 12:35:51] [FINE   ] START SCENARIO EXECUTION: Done unlocked 
[2024-04-18 12:35:52] [FINE   ] END SCENARIO EXECUTION: Done unlocked

 
[2024-04-18 12:35:52] [FINE   ] START SCENARIO EXECUTION: Settings displayed 
[2024-04-18 12:35:52] [FINE   ] END SCENARIO EXECUTION: Settings displayed

 
[2024-04-18 12:35:53] [FINE   ] END EXECUTION
 
