[2024-04-30 14:55:20] [FINE   ] START EXECUTION
 
[2024-04-30 14:55:21] [FINE   ] START SCENARIO EXECUTION: Done unlocked 
[2024-04-30 14:55:35] [FINE   ] Device: Google sdk_gphone64_x86_64 
[2024-04-30 14:55:35] [FINE   ] Platform: ANDROID 12 
[2024-04-30 14:55:35] [FINE   ] API Level: 31
 
[2024-04-30 14:55:37] [FINE   ] ----STEP----: I_OPEN_THE_APP 
[2024-04-30 14:55:37] [FINE   ] ----STEP----: I_CLICK_ON 
[2024-04-30 14:55:37] [FINE   ] Start: Click on section: Headlines 
[2024-04-30 14:55:38] [FINE   ] ----STEP----: DONE_UNLOCKED 
[2024-04-30 14:55:41] [FINE   ] END SCENARIO EXECUTION: Done unlocked

 
[2024-04-30 14:55:41] [FINE   ] START SCENARIO EXECUTION: Settings displayed 
[2024-04-30 14:55:42] [FINE   ] ----STEP----: I_OPEN_THE_APP 
[2024-04-30 14:55:42] [FINE   ] ----STEP----: I_CLICK_ON_SETTINGS 
[2024-04-30 14:55:42] [FINE   ] Start: Click on Settings 
[2024-04-30 14:55:45] [FINE   ] ----STEP----: SECTIONS_IN_SETTINGS 
[2024-04-30 14:55:47] [FINE   ] END SCENARIO EXECUTION: Settings displayed

 
[2024-04-30 14:55:50] [FINE   ] END EXECUTION
 
