[2024-04-19 13:19:38] [FINE   ] START EXECUTION
 
[2024-04-19 13:19:39] [FINE   ] START SCENARIO EXECUTION: Done unlocked 
[2024-04-19 13:20:02] [FINE   ] Device: Google sdk_gphone64_x86_64 
[2024-04-19 13:20:02] [FINE   ] Platform: ANDROID 12 
[2024-04-19 13:20:02] [FINE   ] API Level: 31
 
[2024-04-19 13:20:04] [FINE   ] ----STEP----: I_OPEN_THE_APP 
[2024-04-19 13:20:04] [FINE   ] ----STEP----: I_CLICK_ON 
[2024-04-19 13:20:04] [FINE   ] Start: Click on section: Headlines 
[2024-04-19 13:20:11] [FINE   ] END SCENARIO EXECUTION: Done unlocked

 
[2024-04-19 13:20:11] [FINE   ] START SCENARIO EXECUTION: Search feature works 
[2024-04-19 13:20:12] [FINE   ] ----STEP----: I_OPEN_THE_APP 
[2024-04-19 13:20:12] [FINE   ] ----STEP----: I_CLICK_ON 
[2024-04-19 13:20:12] [FINE   ] Start: Click on section: lens icon 
[2024-04-19 13:20:17] [FINE   ] ----STEP----: I_TYPE_SOMETHING 
[2024-04-19 13:20:17] [FINE   ] Start: Search: Testing 
[2024-04-19 13:20:23] [FINE   ] END SCENARIO EXECUTION: Search feature works

 
[2024-04-19 13:20:23] [FINE   ] START SCENARIO EXECUTION: Settings displayed 
[2024-04-19 13:20:24] [FINE   ] ----STEP----: I_OPEN_THE_APP 
[2024-04-19 13:20:24] [FINE   ] ----STEP----: I_CLICK_ON_SETTINGS 
[2024-04-19 13:20:24] [FINE   ] Start: Click on Settings 
[2024-04-19 13:20:27] [FINE   ] ----STEP----: SECTIONS_IN_SETTINGS 
[2024-04-19 13:20:29] [FINE   ] END SCENARIO EXECUTION: Settings displayed

 
[2024-04-19 13:20:33] [FINE   ] END EXECUTION
 
