[2024-04-30 14:44:04] [FINE   ] START EXECUTION
 
[2024-04-30 14:44:05] [FINE   ] START SCENARIO EXECUTION: Done unlocked 
[2024-04-30 14:44:15] [FINE   ] Device: Google Pixel 2 
[2024-04-30 14:44:15] [FINE   ] Platform: ANDROID 11 
[2024-04-30 14:44:15] [FINE   ] API Level: 30
 
[2024-04-30 14:44:16] [FINE   ] ----STEP----: I_OPEN_THE_APP 
[2024-04-30 14:44:16] [FINE   ] ----STEP----: I_CLICK_ON 
[2024-04-30 14:44:16] [FINE   ] Start: Click on section: Headlines 
[2024-04-30 14:44:18] [FINE   ] ----STEP----: DONE_UNLOCKED 
[2024-04-30 14:44:19] [FINE   ] END SCENARIO EXECUTION: Done unlocked

 
[2024-04-30 14:44:19] [FINE   ] START SCENARIO EXECUTION: Settings displayed 
[2024-04-30 14:44:20] [FINE   ] ----STEP----: I_OPEN_THE_APP 
[2024-04-30 14:44:20] [FINE   ] ----STEP----: I_CLICK_ON_SETTINGS 
[2024-04-30 14:44:20] [FINE   ] Start: Click on Settings 
[2024-04-30 14:44:22] [FINE   ] ----STEP----: SECTIONS_IN_SETTINGS 
[2024-04-30 14:44:28] [FINE   ] END SCENARIO EXECUTION: Settings displayed

 
[2024-04-30 14:44:30] [FINE   ] END EXECUTION
 
