[2024-02-02 14:20:22] [FINE   ] START EXECUTION
 
[2024-02-02 14:20:24] [FINE   ] START SCENARIO EXECUTION: Done unlocked 
[2024-02-02 14:20:46] [FINE   ] Device: Google sdk_gphone64_x86_64 
[2024-02-02 14:20:46] [FINE   ] Platform: ANDROID 12 
[2024-02-02 14:20:46] [FINE   ] API Level: 31
 
[2024-02-02 14:20:47] [FINE   ] END SCENARIO EXECUTION: Done unlocked

 
[2024-02-02 14:20:47] [FINE   ] START SCENARIO EXECUTION: Done unlocked 
[2024-02-02 14:20:47] [FINE   ] END SCENARIO EXECUTION: Done unlocked

 
[2024-02-02 14:20:47] [FINE   ] START SCENARIO EXECUTION: Done unlocked 
[2024-02-02 14:20:48] [FINE   ] END SCENARIO EXECUTION: Done unlocked

 
[2024-02-02 14:20:48] [FINE   ] START SCENARIO EXECUTION: Settings displayed 
[2024-02-02 14:20:48] [FINE   ] END SCENARIO EXECUTION: Settings displayed

 
[2024-02-02 14:20:50] [FINE   ] END EXECUTION
 
