[2024-04-18 14:55:48] [FINE   ] START EXECUTION
 
[2024-04-18 14:55:49] [FINE   ] START SCENARIO EXECUTION: Done unlocked 
[2024-04-18 14:56:14] [FINE   ] Device: Google sdk_gphone64_x86_64 
[2024-04-18 14:56:14] [FINE   ] Platform: ANDROID 12 
[2024-04-18 14:56:14] [FINE   ] API Level: 31
 
[2024-04-18 14:56:16] [FINE   ] ----STEP----: I_OPEN_THE_APP 
[2024-04-18 14:56:16] [FINE   ] ----STEP----: I_CLICK_ON 
[2024-04-18 14:56:16] [FINE   ] Start: Click on section: Headlines 
[2024-04-18 14:56:17] [FINE   ] ----STEP----: DONE_UNLOCKED 
[2024-04-18 14:56:21] [FINE   ] END SCENARIO EXECUTION: Done unlocked

 
[2024-04-18 14:56:21] [FINE   ] START SCENARIO EXECUTION: Done unlocked 
[2024-04-18 14:56:22] [FINE   ] ----STEP----: I_OPEN_THE_APP 
[2024-04-18 14:56:22] [FINE   ] ----STEP----: I_CLICK_ON 
[2024-04-18 14:56:22] [FINE   ] Start: Click on section: UI 
[2024-04-18 14:56:31] [FINE   ] ----STEP----: DONE_UNLOCKED 
[2024-04-18 14:56:33] [FINE   ] END SCENARIO EXECUTION: Done unlocked

 
[2024-04-18 14:56:33] [FINE   ] START SCENARIO EXECUTION: Done unlocked 
[2024-04-18 14:56:34] [FINE   ] ----STEP----: I_OPEN_THE_APP 
[2024-04-18 14:56:34] [FINE   ] ----STEP----: I_CLICK_ON 
[2024-04-18 14:56:34] [FINE   ] Start: Click on section: Compose 
[2024-04-18 14:56:44] [FINE   ] ----STEP----: DONE_UNLOCKED 
[2024-04-18 14:56:46] [FINE   ] END SCENARIO EXECUTION: Done unlocked

 
[2024-04-18 14:56:46] [FINE   ] START SCENARIO EXECUTION: Settings displayed 
[2024-04-18 14:56:46] [FINE   ] ----STEP----: I_OPEN_THE_APP 
[2024-04-18 14:56:46] [FINE   ] ----STEP----: I_CLICK_ON_SETTINGS 
[2024-04-18 14:56:46] [FINE   ] Start: Click on Settings 
[2024-04-18 14:56:56] [FINE   ] ----STEP----: SECTIONS_IN_SETTINGS 
[2024-04-18 14:57:01] [FINE   ] END SCENARIO EXECUTION: Settings displayed

 
[2024-04-18 14:57:03] [FINE   ] END EXECUTION
 
