[2024-04-19 12:19:07] [FINE   ] START EXECUTION
 
[2024-04-19 12:19:08] [FINE   ] START SCENARIO EXECUTION: Done unlocked 
[2024-04-19 12:19:22] [FINE   ] Device: Google sdk_gphone64_x86_64 
[2024-04-19 12:19:22] [FINE   ] Platform: ANDROID 12 
[2024-04-19 12:19:22] [FINE   ] API Level: 31
 
[2024-04-19 12:19:24] [FINE   ] ----STEP----: I_OPEN_THE_APP 
[2024-04-19 12:19:24] [FINE   ] ----STEP----: I_CLICK_ON 
[2024-04-19 12:19:24] [FINE   ] Start: Click on section: Headlines 
[2024-04-19 12:19:25] [FINE   ] ----STEP----: DONE_UNLOCKED 
[2024-04-19 12:19:27] [FINE   ] END SCENARIO EXECUTION: Done unlocked

 
[2024-04-19 12:19:27] [FINE   ] START SCENARIO EXECUTION: Done unlocked 
[2024-04-19 12:19:27] [FINE   ] ----STEP----: I_OPEN_THE_APP 
[2024-04-19 12:19:27] [FINE   ] ----STEP----: I_CLICK_ON 
[2024-04-19 12:19:27] [FINE   ] Start: Click on section: UI 
[2024-04-19 12:19:30] [FINE   ] ----STEP----: DONE_UNLOCKED 
[2024-04-19 12:19:31] [FINE   ] END SCENARIO EXECUTION: Done unlocked

 
[2024-04-19 12:19:31] [FINE   ] START SCENARIO EXECUTION: Done unlocked 
[2024-04-19 12:19:32] [FINE   ] ----STEP----: I_OPEN_THE_APP 
[2024-04-19 12:19:32] [FINE   ] ----STEP----: I_CLICK_ON 
[2024-04-19 12:19:32] [FINE   ] Start: Click on section: Compose 
[2024-04-19 12:19:35] [FINE   ] ----STEP----: DONE_UNLOCKED 
[2024-04-19 12:19:36] [FINE   ] END SCENARIO EXECUTION: Done unlocked

 
[2024-04-19 12:19:36] [FINE   ] START SCENARIO EXECUTION: Settings displayed 
[2024-04-19 12:19:36] [FINE   ] ----STEP----: I_OPEN_THE_APP 
[2024-04-19 12:19:36] [FINE   ] ----STEP----: I_CLICK_ON_SETTINGS 
[2024-04-19 12:19:36] [FINE   ] Start: Click on Settings 
[2024-04-19 12:19:39] [FINE   ] ----STEP----: SECTIONS_IN_SETTINGS 
[2024-04-19 12:19:40] [FINE   ] END SCENARIO EXECUTION: Settings displayed

 
[2024-04-19 12:19:42] [FINE   ] END EXECUTION
 
